"i","date","hits","keyword","geo","gprop","category"
2,2012-04-07 22:00:00,2,"Amnesty International","GB","web",0
2,2012-04-14 22:00:00,2,"Amnesty International","GB","web",0
2,2012-04-21 22:00:00,2,"Amnesty International","GB","web",0
2,2012-04-28 22:00:00,2,"Amnesty International","GB","web",0
2,2012-05-05 22:00:00,2,"Amnesty International","GB","web",0
2,2012-05-12 22:00:00,2,"Amnesty International","GB","web",0
2,2012-05-19 22:00:00,2,"Amnesty International","GB","web",0
2,2012-05-26 22:00:00,2,"Amnesty International","GB","web",0
2,2012-06-02 22:00:00,2,"Amnesty International","GB","web",0
2,2012-06-09 22:00:00,2,"Amnesty International","GB","web",0
2,2012-06-16 22:00:00,2,"Amnesty International","GB","web",0
2,2012-06-23 22:00:00,2,"Amnesty International","GB","web",0
2,2012-06-30 22:00:00,2,"Amnesty International","GB","web",0
2,2012-07-07 22:00:00,1,"Amnesty International","GB","web",0
2,2012-07-14 22:00:00,2,"Amnesty International","GB","web",0
2,2012-07-21 22:00:00,1,"Amnesty International","GB","web",0
2,2012-07-28 22:00:00,1,"Amnesty International","GB","web",0
2,2012-08-04 22:00:00,1,"Amnesty International","GB","web",0
2,2012-08-11 22:00:00,2,"Amnesty International","GB","web",0
2,2012-08-18 22:00:00,1,"Amnesty International","GB","web",0
2,2012-08-25 22:00:00,1,"Amnesty International","GB","web",0
2,2012-09-01 22:00:00,2,"Amnesty International","GB","web",0
2,2012-09-08 22:00:00,2,"Amnesty International","GB","web",0
2,2012-09-15 22:00:00,3,"Amnesty International","GB","web",0
2,2012-09-22 22:00:00,2,"Amnesty International","GB","web",0
2,2012-09-29 22:00:00,2,"Amnesty International","GB","web",0
2,2012-10-06 22:00:00,3,"Amnesty International","GB","web",0
2,2012-10-13 22:00:00,2,"Amnesty International","GB","web",0
2,2012-10-20 22:00:00,2,"Amnesty International","GB","web",0
2,2012-10-27 22:00:00,2,"Amnesty International","GB","web",0
2,2012-11-03 23:00:00,2,"Amnesty International","GB","web",0
2,2012-11-10 23:00:00,3,"Amnesty International","GB","web",0
2,2012-11-17 23:00:00,3,"Amnesty International","GB","web",0
2,2012-11-24 23:00:00,3,"Amnesty International","GB","web",0
2,2012-12-01 23:00:00,2,"Amnesty International","GB","web",0
2,2012-12-08 23:00:00,3,"Amnesty International","GB","web",0
2,2012-12-15 23:00:00,2,"Amnesty International","GB","web",0
2,2012-12-22 23:00:00,1,"Amnesty International","GB","web",0
2,2012-12-29 23:00:00,1,"Amnesty International","GB","web",0
2,2013-01-05 23:00:00,2,"Amnesty International","GB","web",0
2,2013-01-12 23:00:00,2,"Amnesty International","GB","web",0
2,2013-01-19 23:00:00,2,"Amnesty International","GB","web",0
2,2013-01-26 23:00:00,2,"Amnesty International","GB","web",0
2,2013-02-02 23:00:00,2,"Amnesty International","GB","web",0
2,2013-02-09 23:00:00,2,"Amnesty International","GB","web",0
2,2013-02-16 23:00:00,2,"Amnesty International","GB","web",0
2,2013-02-23 23:00:00,3,"Amnesty International","GB","web",0
2,2013-03-02 23:00:00,2,"Amnesty International","GB","web",0
2,2013-03-09 23:00:00,2,"Amnesty International","GB","web",0
2,2013-03-16 23:00:00,2,"Amnesty International","GB","web",0
2,2013-03-23 23:00:00,1,"Amnesty International","GB","web",0
2,2013-03-30 23:00:00,1,"Amnesty International","GB","web",0
2,2013-04-06 22:00:00,1,"Amnesty International","GB","web",0
2,2013-04-13 22:00:00,2,"Amnesty International","GB","web",0
2,2013-04-20 22:00:00,2,"Amnesty International","GB","web",0
2,2013-04-27 22:00:00,2,"Amnesty International","GB","web",0
2,2013-05-04 22:00:00,2,"Amnesty International","GB","web",0
2,2013-05-11 22:00:00,2,"Amnesty International","GB","web",0
2,2013-05-18 22:00:00,2,"Amnesty International","GB","web",0
2,2013-05-25 22:00:00,1,"Amnesty International","GB","web",0
2,2013-06-01 22:00:00,2,"Amnesty International","GB","web",0
2,2013-06-08 22:00:00,1,"Amnesty International","GB","web",0
2,2013-06-15 22:00:00,1,"Amnesty International","GB","web",0
2,2013-06-22 22:00:00,1,"Amnesty International","GB","web",0
2,2013-06-29 22:00:00,2,"Amnesty International","GB","web",0
2,2013-07-06 22:00:00,1,"Amnesty International","GB","web",0
2,2013-07-13 22:00:00,1,"Amnesty International","GB","web",0
2,2013-07-20 22:00:00,1,"Amnesty International","GB","web",0
2,2013-07-27 22:00:00,1,"Amnesty International","GB","web",0
2,2013-08-03 22:00:00,1,"Amnesty International","GB","web",0
2,2013-08-10 22:00:00,2,"Amnesty International","GB","web",0
2,2013-08-17 22:00:00,2,"Amnesty International","GB","web",0
2,2013-08-24 22:00:00,1,"Amnesty International","GB","web",0
2,2013-08-31 22:00:00,1,"Amnesty International","GB","web",0
2,2013-09-07 22:00:00,2,"Amnesty International","GB","web",0
2,2013-09-14 22:00:00,2,"Amnesty International","GB","web",0
2,2013-09-21 22:00:00,3,"Amnesty International","GB","web",0
2,2013-09-28 22:00:00,3,"Amnesty International","GB","web",0
2,2013-10-05 22:00:00,3,"Amnesty International","GB","web",0
2,2013-10-12 22:00:00,2,"Amnesty International","GB","web",0
2,2013-10-19 22:00:00,2,"Amnesty International","GB","web",0
2,2013-10-26 22:00:00,2,"Amnesty International","GB","web",0
2,2013-11-02 23:00:00,2,"Amnesty International","GB","web",0
2,2013-11-09 23:00:00,2,"Amnesty International","GB","web",0
2,2013-11-16 23:00:00,3,"Amnesty International","GB","web",0
2,2013-11-23 23:00:00,3,"Amnesty International","GB","web",0
2,2013-11-30 23:00:00,3,"Amnesty International","GB","web",0
2,2013-12-07 23:00:00,2,"Amnesty International","GB","web",0
2,2013-12-14 23:00:00,2,"Amnesty International","GB","web",0
2,2013-12-21 23:00:00,1,"Amnesty International","GB","web",0
2,2013-12-28 23:00:00,1,"Amnesty International","GB","web",0
2,2014-01-04 23:00:00,2,"Amnesty International","GB","web",0
2,2014-01-11 23:00:00,2,"Amnesty International","GB","web",0
2,2014-01-18 23:00:00,2,"Amnesty International","GB","web",0
2,2014-01-25 23:00:00,2,"Amnesty International","GB","web",0
2,2014-02-01 23:00:00,2,"Amnesty International","GB","web",0
2,2014-02-08 23:00:00,2,"Amnesty International","GB","web",0
2,2014-02-15 23:00:00,2,"Amnesty International","GB","web",0
2,2014-02-22 23:00:00,2,"Amnesty International","GB","web",0
2,2014-03-01 23:00:00,2,"Amnesty International","GB","web",0
2,2014-03-08 23:00:00,2,"Amnesty International","GB","web",0
2,2014-03-15 23:00:00,2,"Amnesty International","GB","web",0
2,2014-03-22 23:00:00,2,"Amnesty International","GB","web",0
2,2014-03-29 23:00:00,2,"Amnesty International","GB","web",0
2,2014-04-05 22:00:00,2,"Amnesty International","GB","web",0
2,2014-04-12 22:00:00,2,"Amnesty International","GB","web",0
2,2014-04-19 22:00:00,1,"Amnesty International","GB","web",0
2,2014-04-26 22:00:00,2,"Amnesty International","GB","web",0
2,2014-05-03 22:00:00,2,"Amnesty International","GB","web",0
2,2014-05-10 22:00:00,2,"Amnesty International","GB","web",0
2,2014-05-17 22:00:00,2,"Amnesty International","GB","web",0
2,2014-05-24 22:00:00,3,"Amnesty International","GB","web",0
2,2014-05-31 22:00:00,2,"Amnesty International","GB","web",0
2,2014-06-07 22:00:00,2,"Amnesty International","GB","web",0
